Provinsi,Kab/Kota,Latitude,Longitude,Tahun,Jumlah Balita,Jumlah Stunting,Prevalensi,Imunisasi,Penolong Persalinan..,KB Modern,ASI Eksklusif,MP ASI,Air Minum Layak,Sanitasi Layak,PAUD,Kepemilikan JKN/jamkesda,Penerima Bantuan Pangan,Dimensi Kesehatan,Dimensi Gizi,Dimensi Perumahan,Dimensi Pendidikan,Dimensi Perlindungan Sosial,IKPS,Klaster
Aceh,Aceh Tenggara,3.36667,97.7,2020,15947,1711,10.7,10.7,59.6,57.7,81.9,81.2,90.9,54,26.2,92.2,35,42.7,81.6,72.5,26.2,63.6,57.3,2
Aceh,Aceh Timur,4.63333,97.63333,2020,31161,9269,29.7,12,86.6,64.2,42.8,49.3,74.7,74.7,23.4,97.6,46.7,54.3,46.1,74.7,23.4,72.2,54.1,2
Aceh,Aceh Tengah,4.51,96.855,2020,17373,1609,9.3,48.9,86.3,86,73.3,98.3,89.4,81.3,37,97.5,32.4,73.7,85.8,85.4,37,65,69.4,2
Aceh,Pidie,5.08,96.11,2020,1598,142,8.9,13.4,96,46.9,94,99.3,90.3,63.5,23.7,96.5,80.3,52.1,96.7,76.9,23.7,88.4,67.6,2
Aceh,Bireuen,5.08333,96.58333,2020,44230,879,2,25.8,96.4,40.3,100,100,91.3,84.2,26.5,97.4,65.5,54.2,100,87.8,26.5,81.5,70,2
Aceh,Gayo Lues,3.95,97.39,2020,8506,643,7.6,7.6,52.2,83.7,100,87,71.8,43.3,19.9,99.6,47.8,47.8,93.5,57.6,19.9,73.7,58.5,2
Aceh,Nagan Raya,4.16667,96.51667,2020,13621,2345,17.2,25.3,92.8,66.7,94.8,59.5,93.3,80.4,30,96.5,34.3,61.6,77.2,86.9,30,65.4,64.2,2
Aceh,Bener Meriah,4.73015,96.86156,2020,9720,1679,17.3,42.3,95.9,87.4,78.2,93.6,89.5,84.1,22.1,99.1,42,75.2,85.9,86.8,22.1,70.6,68.1,2
Aceh,Kota Subulussalam,2.75,97.93333,2020,10983,1718,15.6,11.3,73.6,51,100,83.5,64.3,73.5,33.1,95.3,37.8,45.3,91.8,68.9,33.1,66.6,61.1,2
Sumatera Utara,Nias,1.03333,97.76667,2020,4699,1200,25.5,23.2,44.3,55.4,84.5,43.8,49.5,17.8,11.5,62.5,37.8,41,64.2,33.7,11.5,50.2,40.1,2
Sumatera Utara,Mandailing Natal,0.78378,99.25495,2020,35454,2201,6.2,24.8,71.1,37.3,99.1,87.3,68,33.8,24.8,51.4,42.1,44.4,93.2,50.9,24.8,46.8,52,2
Sumatera Utara,Tapanuli Tengah,1.9,98.66667,2020,14069,1682,12,29.8,74.4,50.1,81.5,63.3,80.7,50.9,26,57.2,48.2,51.4,72.4,65.8,26,52.7,53.7,2
Sumatera Utara,Simalungun,2.9,99,2020,53176,1216,2.3,65.3,70.5,55.8,50.4,57.6,99.1,91,25.5,61.8,31.6,63.9,54,95.1,25.5,46.7,57,2
Sumatera Utara,Dairi,2.86667,98.23333,2020,27337,5745,21,56.5,80.2,35.1,77.3,70.5,87.8,88.6,16.8,56.2,27,57.3,73.9,88.2,16.8,41.6,55.6,2
Sumatera Utara,Deli Serdang,3.41667,98.66667,2020,109,8027,7.3,33,95.7,49.9,35.9,80.6,95.8,95.7,29.8,47.7,15.9,59.5,58.3,95.8,29.8,31.8,55,2
Sumatera Utara,Langkat,3.71667,98.21667,2020,52066,9542,18.3,29.5,93.9,68.2,86,74.8,92.3,87.6,25.3,58.4,44.9,63.9,80.4,90,25.3,51.7,62.2,0
Sumatera Utara,Pakpak Bharat,2.56667,98.28333,2020,4737,426,9,68.1,97.2,45.6,49.4,100,57.3,91.8,43.8,89.3,46.7,70.3,74.7,74.6,43.8,68,66.3,2
Sumatera Utara,Padang Lawas,1.44684,99.99207,2020,17362,1976,11.4,27.9,49.4,44.8,100,93.8,66.6,52.5,24.3,50.2,38.4,40.7,96.9,59.6,24.3,44.3,53.2,2
Sumatera Utara,Nias Barat,1.05966,97.58606,2020,6565,849,12.9,36.8,63.4,58.1,98.6,61.5,55.6,33.8,17.4,74.8,76.8,52.8,80.1,44.7,17.4,75.8,54.1,2
Sumatera Utara,Kota Medan,3.65,98.66667,2020,163725,470,0.3,59.8,97.5,50.3,26,53.6,98.8,93.2,29.6,76.8,21.9,69.2,39.8,96,29.6,49.4,56.8,2
Sumatera Utara,Kota Gunungsitoli,1.32731,97.55018,2020,1785,226,12.7,74.3,94.8,33,88.6,51.9,79.2,35.8,28.7,79.9,74.8,67.4,70.3,57.5,28.7,77.4,60.2,2
Sumatera Barat,Solok,-0.96667,100.81667,2020,26078,4658,17.9,39.4,96.2,67.5,100,100,79.1,50.4,36.5,49.8,48.8,67.7,100,64.8,36.5,49.3,63.7,0
Sumatera Barat,Lima Puluh Kota,-0.0168,100.5872,2020,22246,2135,9.6,78.3,98,60.4,84.1,91.8,74.8,53.9,26.7,57.7,34.1,78.9,88,64.4,26.7,45.9,60.8,2
Sumatera Barat,Pasaman,0.42503,99.94606,2020,21607,4312,20,42.4,85.2,50.5,67.7,84,71,40.9,24.9,95.8,38,59.4,75.9,56,24.9,66.9,56.6,2
Sumatera Barat,Pasaman Barat,0.28152,99.51965,2020,37357,7686,20.6,46.8,92.3,58.1,85,92.2,69.6,63.7,29.8,54.7,33.2,65.7,88.6,66.7,29.8,44,58.9,0
Riau,Pelalawan,0.20822,102.18607,2020,22532,3165,14,21.7,75.4,59,91.7,87.9,79.7,89.2,28.5,55.2,10.8,52,89.8,84.5,28.5,33,57.6,2
Riau,Kampar,0.2344,101.2131,2020,76417,4063,5.3,46.7,83.2,68.1,96.5,100,90.1,89.5,28.4,65.3,32.1,66,98.3,89.8,28.4,48.7,66.2,0
Riau,Rokan Hulu,0.88333,100.48333,2020,46560,3650,7.8,27.5,80.8,70.4,88,76,85.3,81.4,41.3,40.8,26.6,59.6,82,83.4,41.3,33.7,60,0
